file_name,file_path,file_type,file_size,rows,columns,attack_type,traffic_type,protocol,source,usable_for_ml,reason_if_not_used
Port_Scanning_attack.csv,Edge-IIoTset dataset/Attack traffic/Port_Scanning_attack.csv,.csv,7.00 MB,18337,63,Port Scanning,Attack,TCP/UDP / Reconnaissance,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Ransomware attack.pcap,Edge-IIoTset dataset/Attack traffic/Ransomware attack.pcap,.pcap,2.71 MB,--,--,Ransomware attack,Attack,SMB/RPC / Crypto-Malware,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Ransomware_attack.csv,Edge-IIoTset dataset/Attack traffic/Ransomware_attack.csv,.csv,7.24 MB,18980,63,Ransomware,Attack,SMB/RPC / Crypto-Malware,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
SQL injection attack.pcap,Edge-IIoTset dataset/Attack traffic/SQL injection attack.pcap,.pcap,7.79 MB,--,--,SQL injection attack,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
SQL_injection_attack.csv,Edge-IIoTset dataset/Attack traffic/SQL_injection_attack.csv,.csv,25.69 MB,67334,63,SQL injection,Attack,HTTP POST/GET / Injection,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Uploading attack.pcap,Edge-IIoTset dataset/Attack traffic/Uploading attack.pcap,.pcap,5.23 MB,--,--,Uploading attack,Attack,HTTP POST / File Upload,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Uploading_attack.csv,Edge-IIoTset dataset/Attack traffic/Uploading_attack.csv,.csv,16.70 MB,43783,63,Uploading,Attack,HTTP POST / File Upload,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Vulnerability scanner attack.pcap,Edge-IIoTset dataset/Attack traffic/Vulnerability scanner attack.pcap,.pcap,133.87 MB,--,--,Vulnerability scanner attack,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Vulnerability_scanner_attack.csv,Edge-IIoTset dataset/Attack traffic/Vulnerability_scanner_attack.csv,.csv,167.61 MB,439368,63,Vulnerability scanner,Attack,HTTP/Nmap / Scanning,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
XSS attacks.pcap,Edge-IIoTset dataset/Attack traffic/XSS attacks.pcap,.pcap,1.97 MB,--,--,XSS attacks,Attack,HTTP GET / Cross-Site Scripting,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
XSS_attack.csv,Edge-IIoTset dataset/Attack traffic/XSS_attack.csv,.csv,6.64 MB,17408,63,XSS,Attack,HTTP GET / Cross-Site Scripting,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Distance.csv,Edge-IIoTset dataset/Normal traffic/Distance/Distance.csv,.csv,349.10 MB,915140,63,Distance,Normal,MQTT / Ultrasonic,Edge-IIoTset dataset/Normal traffic/Distance,True,"Fully extracted, normalized network & sensor flow telemetry"
Distance.pcap,Edge-IIoTset dataset/Normal traffic/Distance/Distance.pcap,.pcap,81.47 MB,--,--,Distance,Normal,MQTT / Ultrasonic,Edge-IIoTset dataset/Normal traffic/Distance,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Flame_Sensor.csv,Edge-IIoTset dataset/Normal traffic/Flame_Sensor/Flame_Sensor.csv,.csv,327.61 MB,858808,63,Flame Sensor,Normal,Modbus / Digital I/O,Edge-IIoTset dataset/Normal traffic/Flame_Sensor,True,"Fully extracted, normalized network & sensor flow telemetry"
Flame_Sensor.pcap,Edge-IIoTset dataset/Normal traffic/Flame_Sensor/Flame_Sensor.pcap,.pcap,76.00 MB,--,--,Flame Sensor,Normal,Modbus / Digital I/O,Edge-IIoTset dataset/Normal traffic/Flame_Sensor,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Heart_Rate.csv,Edge-IIoTset dataset/Normal traffic/Heart_Rate/Heart_Rate.csv,.csv,50.13 MB,131422,63,Heart Rate,Normal,MQTT / Bio-telemetry,Edge-IIoTset dataset/Normal traffic/Heart_Rate,True,"Fully extracted, normalized network & sensor flow telemetry"
Heart_Rate.pcap,Edge-IIoTset dataset/Normal traffic/Heart_Rate/Heart_Rate.pcap,.pcap,12.25 MB,--,--,Heart Rate,Normal,MQTT / Bio-telemetry,Edge-IIoTset dataset/Normal traffic/Heart_Rate,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
IR_Receiver.csv,Edge-IIoTset dataset/Normal traffic/IR_Receiver/IR_Receiver.csv,.csv,393.62 MB,1031846,63,IR Receiver,Normal,Modbus / Infrared,Edge-IIoTset dataset/Normal traffic/IR_Receiver,True,"Fully extracted, normalized network & sensor flow telemetry"
IR_Receiver.pcap,Edge-IIoTset dataset/Normal traffic/IR_Receiver/IR_Receiver.pcap,.pcap,92.42 MB,--,--,IR Receiver,Normal,Modbus / Infrared,Edge-IIoTset dataset/Normal traffic/IR_Receiver,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Modbus.csv,Edge-IIoTset dataset/Normal traffic/Modbus/Modbus.csv,.csv,64.75 MB,169749,63,Modbus,Normal,Modbus-TCP / Industrial Fieldbus,Edge-IIoTset dataset/Normal traffic/Modbus,True,"Fully extracted, normalized network & sensor flow telemetry"
Modbus.pcap,Edge-IIoTset dataset/Normal traffic/Modbus/Modbus.pcap,.pcap,20.07 MB,--,--,Modbus,Normal,Modbus-TCP / Industrial Fieldbus,Edge-IIoTset dataset/Normal traffic/Modbus,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Soil_Moisture.csv,Edge-IIoTset dataset/Normal traffic/Soil_Moisture/Soil_Moisture.csv,.csv,363.91 MB,953971,63,Soil Moisture,Normal,MQTT / Analog Sensor,Edge-IIoTset dataset/Normal traffic/Soil_Moisture,True,"Fully extracted, normalized network & sensor flow telemetry"
Soil_Moisture.pcap,Edge-IIoTset dataset/Normal traffic/Soil_Moisture/Soil_Moisture.pcap,.pcap,85.67 MB,--,--,Soil Moisture,Normal,MQTT / Analog Sensor,Edge-IIoTset dataset/Normal traffic/Soil_Moisture,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Sound_Sensor.csv,Edge-IIoTset dataset/Normal traffic/Sound_Sensor/Sound_Sensor.csv,.csv,456.78 MB,1197425,63,Sound Sensor,Normal,MQTT / Audio Telemetry,Edge-IIoTset dataset/Normal traffic/Sound_Sensor,True,"Fully extracted, normalized network & sensor flow telemetry"
Sound_Sensor.pcap,Edge-IIoTset dataset/Normal traffic/Sound_Sensor/Sound_Sensor.pcap,.pcap,106.92 MB,--,--,Sound Sensor,Normal,MQTT / Audio Telemetry,Edge-IIoTset dataset/Normal traffic/Sound_Sensor,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Temperature_and_Humidity.csv,Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity/Temperature_and_Humidity.csv,.csv,879.85 MB,2306469,63,Temperature and Humidity,Normal,MQTT / DHT11,Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity,True,"Fully extracted, normalized network & sensor flow telemetry"
Temperature_and_Humidity.pcap,Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity/Temperature_and_Humidity.pcap,.pcap,329.85 MB,--,--,Temperature and Humidity,Normal,MQTT / DHT11,Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Water_Level.csv,Edge-IIoTset dataset/Normal traffic/Water_Level/Water_Level.csv,.csv,697.57 MB,1828646,63,Water Level,Normal,Modbus / Industrial Level,Edge-IIoTset dataset/Normal traffic/Water_Level,True,"Fully extracted, normalized network & sensor flow telemetry"
Water_Level.pcap,Edge-IIoTset dataset/Normal traffic/Water_Level/Water_Level.pcap,.pcap,164.49 MB,--,--,Water Level,Normal,Modbus / Industrial Level,Edge-IIoTset dataset/Normal traffic/Water_Level,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
phValue.csv,Edge-IIoTset dataset/Normal traffic/phValue/phValue.csv,.csv,226.33 MB,593320,63,phValue,Normal,MQTT / Chemical Telemetry,Edge-IIoTset dataset/Normal traffic/phValue,True,"Fully extracted, normalized network & sensor flow telemetry"
phValue.pcap,Edge-IIoTset dataset/Normal traffic/phValue/phValue.pcap,.pcap,53.93 MB,--,--,phValue,Normal,MQTT / Chemical Telemetry,Edge-IIoTset dataset/Normal traffic/phValue,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DNN-EdgeIIoT-dataset.csv,Edge-IIoTset dataset/Selected dataset for ML and DL/DNN-EdgeIIoT-dataset.csv,.csv,1161.02 MB,3043534,63,DNN-EdgeIIoT-dataset,Selected ML/DL Corpus,Network Telemetry,Edge-IIoTset dataset/Selected dataset for ML and DL,True,"Fully extracted, normalized network & sensor flow telemetry"
ML-EdgeIIoT-dataset.csv,Edge-IIoTset dataset/Selected dataset for ML and DL/ML-EdgeIIoT-dataset.csv,.csv,78.38 MB,205460,63,ML-EdgeIIoT-dataset,Selected ML/DL Corpus,Network Telemetry,Edge-IIoTset dataset/Selected dataset for ML and DL,True,"Fully extracted, normalized network & sensor flow telemetry"
Edge_IIoTset__DatasetFL.pdf,Edge_IIoTset__DatasetFL.pdf,.pdf,5.19 MB,--,--,Edge IIoTset  DatasetFL.pdf,Auxiliary,Network Telemetry,,False,Unstructured auxiliary data
Readme.txt,Readme.txt,.txt,0.01 MB,--,--,Readme.txt,Auxiliary,Network Telemetry,,False,Unstructured auxiliary data
